1
5 80
1 2 3 4 5
32 52 45 28 46
9 58 23 25 0
5 18 1 55 0
27 53 54 11 55
16 14 1 37 10
34 30 16 51 40
15 45 2 25 58
13 32 17 18 5
22 37 52 39 27
26 23 51 55 59
58 9 5 34 39
25 52 15 22 32
33 20 18 17 2
28 3 57 5 34
21 18 22 9 36
58 59 18 1 46
43 57 35 4 1
40 41 2 42 28
15 24 16 17 27
13 44 4 19 41
38 43 28 57 59
37 1 11 4 3
15 32 49 1 35
35 56 17 39 40
12 53 1 9 28
7 38 24 4 34
13 25 38 50 22
49 44 29 58 23
25 0 44 33 5
52 45 7 47 57
44 30 54 31 21
25 14 50 22 58
6 38 21 4 37
16 14 29 48 27
13 28 6 42 38
0 19 38 10 44
19 36 8 12 58
54 47 39 0 27
34 8 1 58 22
42 1 44 26 36
29 13 8 21 53
46 44 45 2 40
21 0 23 38 47
53 43 31 54 15
56 1 52 31 19
51 18 50 24 47
27 4 31 1 29
58 21 50 33 52
35 0 13 12 22
36 43 53 26 51
35 48 52 21 9
43 29 7 52 51
13 12 10 19 32
7 54 25 0 43
42 49 47 38 40
11 14 7 54 3
49 9 46 7 56
52 30 59 26 2
23 0 33 45 31
59 6 7 9 42
57 25 56 8 12
34 46 13 40 39
11 18 27 36 38
14 0 33 7 29
36 2 42 27 43
40 47 53 10 57
3 56 54 6 17
14 40 11 32 24
14 26 53 4 15
40 32 51 36 19
23 57 9 1 45
52 34 24 41 3
44 46 8 28 37
50 23 44 54 26
37 1 58 31 32
11 52 3 41 21
30 58 29 11 0
19 57 37 54 35
1 56 27 8 13
9 53 41 43 49
36 23 47 45 22
10 57 1 27 30
6 27 31 57 45
4 58 11 7 15
32 11 17 25 53
31 0 30 55 20
50 57 18 26 4
49 11 44 48 30
58 39 19 47 29
39 59 36 0 53
58 10 53 26 29
34 32 0 54 53
26 29 31 48 59
41 21 8 46 33
45 50 9 41 0
48 42 22 46 38
39 37 27 58 9
3 20 55 6 33
9 17 37 34 13
15 18 13 23 33
26 31 20 54 37
14 52 37 11 55
37 32 52 17 50
13 36 50 49 48
49 46 4 0 22
9 0 33 52 22
54 47 5 13 51
13 33 44 43 15
2 41 6 29 28
48 44 11 34 35
47 53 40 2 7
37 57 0 2 40
20 18 56 34 15
50 11 55 57 23
42 47 9 31 11
54 0 13 53 21
25 8 3 40 55
11 30 12 15 51
20 54 40 6 34
28 39 25 16 52
2 32 11 47 44
37 28 36 10 50
2 41 33 39 52
24 51 15 44 30
26 38 1 3 43
21 20 15 58 59
43 28 29 8 54
33 19 29 6 59
37 57 42 15 12
43 52 48 23 53
48 35 57 8 11
13 45 21 22 30
48 16 45 25 23
9 15 33 5 44
18 45 0 53 25
20 48 54 13 25
48 41 32 56 30
12 42 21 6 15
40 11 7 57 3
48 33 35 11 43
22 11 19 14 52
53 50 1 14 58
26 31 43 8 47
19 24 4 13 15
24 14 42 47 45
46 29 20 57 50
39 38 36 37 3
22 0 31 5 23
55 16 35 4 6
48 21 35 38 5
53 3 52 18 37
36 59 26 54 46
43 22 11 20 55
18 27 10 30 33
7 53 34 36 52
30 21 6 5 13
24 49 55 23 54
13 27 47 20 59
21 5 54 0 20
47 41 32 33 17
37 3 43 13 19
31 45 28 58 8
30 32 44 34 43
53 36 47 46 41
4 38 51 6 25
19 36 28 7 31
39 11 46 17 53
7 41 52 27 39
44 17 1 28 42
24 28 8 1 36
42 40 4 18 25
39 4 54 19 9
34 55 23 52 51
37 54 23 31 19
50 57 23 58 4
12 46 9 28 17
57 4 8 47 13
2 51 9 53 57
54 24 4 3 35
51 33 32 18 10
19 10 33 34 49
34 14 13 9 58
45 33 58 51 52
43 28 9 48 5
51 0 26 11 8
1 18 17 47 2
58 2 23 6 46
49 56 45 51 23
38 50 57 16 31
26 10 13 11 20
4 23 1 25 58
29 45 34 47 44
44 36 37 47 15
22 6 28 58 39
51 9 18 50 55
30 32 29 56 10
12 22 49 52 36
37 33 56 50 25
12 11 37 21 15
13 12 36 56 8
11 25 18 56 39
24 36 46 2 58
48 21 26 8 17
28 19 7 9 20
45 48 22 46 39
57 51 27 45 11
26 44 54 29 9
56 41 45 25 20
57 35 30 37 29
5 26 48 15 3
37 50 47 35 42
53 0 34 49 28
15 8 50 40 19
57 47 54 4 17
45 19 12 33 32
22 23 51 49 37
53 40 4 43 37
28 30 8 1 12
17 44 39 1 49
23 36 12 20 27
12 10 0 15 43
55 37 17 14 54
13 33 18 6 4
34 15 49 52 44
24 12 22 35 13
42 53 44 40 13
17 2 10 37 57
46 11 57 25 16
37 59 30 38 25
27 4 52 5 56
35 48 38 2 28
35 22 37 46 47
13 5 26 9 4
54 5 59 46 29
12 59 55 16 21
27 18 53 52 56
9 1 30 34 55
46 43 26 24 36
17 16 13 29 11
44 37 25 40 10
25 5 18 48 46
9 8 21 45 56
40 56 50 24 7
48 36 24 20 23
24 31 20 10 44
23 46 1 30 45
6 28 36 27 46
37 58 39 14 55
51 50 12 18 16
37 30 7 27 14
46 2 22 19 6
15 6 34 30 26
59 16 22 39 21
32 36 44 37 50
38 12 4 1 40
20 43 16 1 7
59 8 50 52 19
38 59 7 24 37
15 13 49 51 22
19 36 41 21 54
9 58 56 29 37
4 58 2 5 38
32 25 36 21 39
23 47 31 53 2
20 36 48 19 9
53 19 31 51 3
44 38 12 4 39
41 34 53 19 54
49 55 22 1 16
17 32 25 31 18
50 27 55 47 44
42 59 21 48 44
54 48 1 52 28
54 36 37 53 1
45 18 55 54 52
6 16 24 41 44
20 54 56 7 5
38 31 21 25 51
31 19 0 57 36
23 44 24 5 17
2 46 35 6 52
29 46 45 3 12
41 46 53 4 29
50 25 46 5 56
55 13 43 12 56
56 30 16 52 50
55 52 10 35 16
21 40 24 29 14
50 2 6 16 24
50 17 22 46 16
28 5 21 30 2
1 33 38 14 15
0 58 27 20 25
23 45 36 53 10
12 29 19 23 17
49 33 59 13 40
32 25 1 51 58
43 13 27 34 36
17 51 49 44 6
31 2 18 22 15
47 17 58 24 22
50 46 45 40 25
6 40 57 2 4
34 44 10 15 40
6 42 36 13 51
47 55 45 54 48
19 59 28 41 32
37 57 9 12 11
58 22 39 17 19
39 40 0 56 4
52 55 13 45 41
59 47 8 4 49
41 19 48 47 39
26 29 15 6 24
7 14 4 28 6
25 21 14 49 48
18 27 33 44 25
17 37 55 21 3
33 57 19 36 55
13 34 30 52 44
59 8 30 14 32
16 1 55 26 31
20 55 54 58 37
50 58 1 27 22
18 50 11 1 39
41 50 53 32 3
2 22 48 1 58
7 25 26 2 46
34 57 4 23 7
40 5 24 43 57
33 48 50 15 26
58 12 16 18 1
22 36 6 2 4
23 30 32 35 31
30 55 28 0 1
23 18 52 8 4
5 7 2 23 18
59 51 36 12 32
21 43 8 55 56
36 58 39 23 25
17 46 9 35 27
20 30 42 15 49
33 0 13 37 6
41 45 42 39 5
53 35 55 43 26
16 8 45 52 41
20 22 36 8 59
16 32 5 18 58
56 46 11 47 1
42 45 4 39 52
37 30 20 34 39
40 38 51 20 30
11 7 13 55 16
19 15 50 36 56
52 3 46 27 35
22 35 26 36 37
58 26 4 5 45
8 0 40 54 34
12 38 6 45 30
29 19 33 38 57
21 45 51 49 59
8 5 2 33 41
10 47 53 28 35
49 46 29 23 11
21 59 31 52 54
46 8 50 28 59
55 10 4 36 18
26 27 53 23 31
47 33 1 13 34
22 27 37 23 33
26 15 55 53 6
10 39 25 56 53
43 52 59 39 6
53 25 45 51 24
7 51 27 19 16
15 32 52 53 37
50 59 37 26 9
45 6 39 19 53
35 8 21 28 9
36 11 18 34 55
3 14 56 24 31
45 22 31 37 55
14 58 23 18 15
42 3 51 43 12
0 50 8 25 2
58 38 57 21 0
48 16 33 32 52
22 7 40 38 14
27 34 3 4 24
34 46 30 45 35
23 27 32 11 59
0 38 48 28 40
19 51 46 47 48
6 5 19 58 40
15 54 16 27 56
14 0 31 8 38
34 49 4 56 10
29 32 39 1 42
4 3 19 29 7
37 26 56 27 49
43 19 14 35 44
36 29 58 56 38
32 6 17 35 8
16 28 42 54 53
15 16 36 2 44
9 22 4 12 29
56 26 2 55 16
5 32 39 35 17
44 14 3 19 42
1 13 33 57 0
35 14 45 41 2
8 35 46 20 11
8 9 12 17 53
8 14 22 36 17
36 3 30 52 49
33 39 22 42 2
9 54 14 18 34
6 23 54 52 48
13 23 27 18 33
17 55 39 1 44
19 41 7 36 32
5 52 28 16 31
55 29 56 12 18
49 20 16 44 40
46 26 43 25 34
31 8 58 24 44
57 13 2 24 23
32 25 31 2 24
9 35 30 6 8
35 24 1 49 59
2 3 32 59 41
7 25 50 49 19
48 59 40 11 58
20 36 8 44 25
45 10 18 56 40
35 4 26 12 59
33 22 5 56 47
12 38 25 44 58
59 52 48 36 58
38 18 25 39 49
24 2 49 9 58
27 58 43 21 10
46 26 3 24 0
28 3 27 56 6
30 5 52 20 17
13 6 48 37 19
4 28 40 38 25
47 52 14 32 9
42 10 51 15 50
31 24 10 40 45
7 34 57 25 2
48 13 55 39 57
28 9 6 30 20
1 19 6 0 31
54 33 24 17 19
36 49 10 37 5
45 54 49 14 32
10 59 37 33 13
37 57 20 25 33
51 22 36 54 32
34 36 30 13 45
52 47 1 21 44
39 46 5 18 47
48 14 10 52 59
40 55 18 32 16
22 9 56 59 18
23 19 55 17 30
31 22 20 17 46
35 46 3 32 58
55 25 48 58 40
41 9 24 45 26
57 37 41 38 13
56 13 53 8 33
55 29 36 41 21
59 4 3 51 29
2 26 10 27 0
29 43 28 27 23
40 58 6 18 23
40 6 38 5 23
9 38 16 10 15
16 3 28 59 6
30 55 9 19 1
37 25 34 18 31
21 57 40 32 15
56 38 58 40 25
13 4 33 27 45
26 50 16 41 30
9 28 17 39 35
33 57 11 51 17
13 31 16 29 4
2 27 0 28 16
34 19 57 20 41
3 41 51 29 39
59 15 19 23 45
26 21 4 23 9
35 4 55 5 50
23 37 12 44 33
20 15 28 50 43
10 36 25 54 40
18 58 24 8 51
7 57 28 10 19
20 10 50 32 4
15 44 2 31 6
28 4 6 56 26
12 28 58 25 32
7 6 39 32 11
16 10 17 46 30
10 5 25 8 54
34 23 9 16 43
36 18 54 41 21
15 35 54 42 59
22 44 20 15 17
16 20 44 24 17
55 45 29 51 28
